artist,song,lyrics,genre,lyric_count,lyric_count_norm
Katy Perry,The One That Got Away acoustic,"summer after high school, when we first met we would make-out in your mustang to radiohead and on my 18th birthday, we got matching tattoos used to steal your parents liquor and climb to the roof talk about our future like we had a clue never planned that one day i would be losing you in another life, i would be your girl we would keep all our promises, be us against the world in another life, i would make you stay so i do not have to say you were the one that got away the one that got away i was june and you were my johnny cash never one without the other, we made a pact sometimes when i miss you, i put those records on, woah someone said you had your tattoo removed saw you downtown, singing the blues it is time to face the music, i am no longer your muse we keep all our promises, be us against the world the one, the one, the one ohh the one, the one, the one, the one, the one all this money can not buy me a time machine, no can not replace you with a million rings, no i should'a told you what you meant to me, woah because now i pay the price the one",pop,221,7.489217498459642
Katy Perry,Who Am I Living For,"yeah, yeah, yeah i can feel a phoenix inside of me as i march alone to a different beat slowly swallowing down my fear yeah, yeah i am ready for the road less traveled suiting up for my crowning battle this test is my own cross to bear but i will get there it is never easy to be chosen never easy to be called standing on the front line when the bombs start to fall i can see the heavens but i still hear the flames calling out my name i can see the writing on the wall i can not ignore this war at the end of it all who am i living for? i can feel this light that is inside of me growing fast into a bolt of lightning i know one spark will shock the world so i pray for favor like esther i need your strength to handle the pressure i know there will be sacrifice but that is the price at the end, at the end heavy is head that wears the crown do not let the greatness get you down oh yeah",pop,190,6.438693776956255
Katy Perry,Daisies,"told them your dreams and they all started laughin' i guess you are out of your mind 'til it actually happens i am the small town one in seven billion why can not it be me? they told me i was out there tried to knock me down took those sticks and stones showed  them i could build a house they tell me that i am crazy but i will never let  them change me 'til they cover me in daisies, daisies, daisies they said i am going nowhere tried to count me out so they cover me in daisies, daisies, daisies when did we all stop believin' in magic? why did we put all our hopes in a box in the attic? i am the long shot i am the hail mary tried to knock me down (knock me down) yeah, yeah (cover me in daisies) yeah, yeah tried to count me out (count me out)",pop,157,5.320394331484906
Katy Perry,Witness,"if i lost it all today, would you stay? could my love be enough to stimulate? if shit hit the fan, grenades got thrown would you still show, oh? could you go down with me to the mat? could we get back up and eventually laugh? roll eyes at highs, cheers in the lows, and stay in the flow, o-o-o because i, i only got this life and i are not got the time, no not to get it right, oh we are all just looking for connection yeah, we all want to be seen i am looking for someone who speaks my language someone to ride this ride with me can i get a witness? (witness) will you be my witness? (witness) i am just looking for a witness in all of this looking for a witness to get me through this when you tell me everything, and there is no holes you can scroll through anything, you have got the codes nothing to hide it is all in their eyes and we just know, o-o-o will you be my witness? could you be the one that speaks for me? we are all just looking for connection (we are all just looking...) someone (to ride this ride...) to ride this ride with me (with me) (will you be my witness?) i am just looking for a witness (ooh-ooh-ooh-ah) in all of this",pop,233,7.8958718422674075
Katy Perry,Starstrukk,"nice legs, daisy dukes makes a man go that is the way they all come through like low-cut, see-through shirts that make ya that is the way she come through like because i just set them up just set them up just set them up to knock them down i think i should know how to make love to something innocent without leaving my fingerprints out now, l.o.v.e.'s just another word i never learned to pronounce how do i say i am sorry because the word is never going to come out tight jeans, double d's makin' me go all the people on the street know iced out, lit-up make the kids go you know that type of shit just do not work on me whistlin', trying to flirt with me do not take it personally because we were never in love it does not really matter who you say you are singing out the window of your car find another girl across the bar because l.o.v.e.'s not what this was",pop,171,5.794824399260628
Katy Perry,Birthday,"i heard you are feeling nothing's going right why do not you let me stop by the clock is ticking, running out of time so we should party, all night so cover your eyes, i have a surprise i hope you got a healthy appetite if you want to dance, if you want it all you know that i am the girl that you should call boy, when you are with me i will give you a taste make it like your birthday everyday i know you like it sweet so you can have your cake give you something good to celebrate so make a wish i will make it like your birthday everyday i will be your gift pop your confetti pop your pérignon so hot and heavy 'till dawn i got you spinning like a disco ball all night, they are playing your song we are living the life we are doing it right you are never going to be unsatisfied if you want to dance if you want it all you know i am the girl that you should call so make (so make) a wish (a wish) happy birthday so let me get you in your birthday suit it is time to bring out the big balloons it is time to bring out the big, big, big, big, big, big balloons",pop,225,7.624768946395563
Katy Perry,Save As Draft,"i remember when you used to be my every other thought but now my calendar's so full, it is easier to move on sometimes i swear i pass your suv on sunset boulevard i do not fuck with change, but lately i have been flipping coins a lot i struggle i juggle i could just throw a line to you but i should let sleeping dogs lie because i know better, baby i write it erase it repeat it but what good will it do to reopen the wound so i take a deep breath and i save as draft you do not have to subtweet me my number's always been the same but all's been said and done no, will we ever really close this case? yeah, i will always be here for you, but i could no longer stay still my body goes in shock every time i hear your name i have heard you have done some changing i have been rearranging wish that i could know, but i just do not know never get that time back fear we would fall in old traps why can not we just let go staring at a fork in the fucking road",pop,203,6.879235982747997
Katy Perry,Walking on Air,"tonight, tonight, tonight i am walking on air you are giving me sweet, sweet ecstasy yeah, you take me to utopia you reading me like erotica boy you make me feel exotic, yeah just when i think i can not take anymore we go deeper and harder than ever before we go higher and higher i feel like i am already there tonight i am walking, i am walking on air tonight, tonight this is pure paradise even heaven is jealous of our love yes we make angels cry raining down on earth from up above i am walking on air (ooh-ooh) tonight (tonight) i am walking on air (i am walking on air) heaven is jealous of our love, oh yeah angels are crying from up above, oh yeah i am walking on air (i am walking) i am walking on air (oh, oh, oh, oh)",pop,147,4.981515711645101
Katy Perry,Firework,"do you ever feel like a plastic bag? drifting through the wind wanting to start again do you ever feel, feel so paper-thin? like a house of cards one blow from caving in do you ever feel already buried deep? six feet under screams, but no one seems to hear a thing do you know that there is still a chance for you? because there is a spark in you you just got to ignite the light and let it shine just own the night like the fourth of july because, baby, you are a firework come on, show  them what you are worth make  them go, ""ah, ah, ah"" as you shoot across the sky baby, you are a firework come on, let your colors burst you are going to leave them all in awe, awe, awe you do not have to feel like a wasted space you are original, cannot be replaced if you only knew what the future holds after a hurricane comes a rainbow maybe a reason why all the doors are closed so you could open one that leads you to the perfect road like a lightning bolt, your heart will glow and when it is time, you will know boom, boom, boom even brighter than the moon, moon, moon it is always been inside of you, you, you and now it is time to let it through-ough-ough",pop,233,7.8958718422674075
Katy Perry,Unconditionally,"oh, no, did i get too close? oh, did i almost see what is really on the inside? all your insecurities all the dirty laundry never made me blink one time unconditional, unconditionally i will love you unconditionally there is no fear now let go and just be free come just as you are to me do not need apologies know that you are worthy i will take your bad days with your good walk through the storm, i would i do it all because i love you i love you so open up your heart and just let it begin open up your heart and just let it begin open up your heart acceptance is the key to be to be truly free will you do the same for me? i will love you unconditionally, yeah and there is no fear now because i will love you unconditionally, oh, yeah i will love you (unconditionally) i will love you",pop,160,5.422057917436845
