artist,song,lyrics
Pearl-Jam,Lightning-Bolt-1,"She comes on like a stone But you don't know where from she was thrown Like a burning meteor from miles high Looking for a place to land She said, ""Have you got yourself some sand?"" And whatever you replied, she took as yes Now she comes after thee With her newly planted seeds and soon You're prone down on your knees and there you dig And then before you know the weeds are Obesely overgrown with all the Wild seed she sows in your sleep You gotta know you'll never let her go She's a lightning bolt Lightning bolt Always something and never nothing Isn't that the way we're taught to be, to be? Flipping through the worn out pages And stages when you knew not who to be 'Til the lightning strike sets you free The crashing stormy waves erode her Shoreline everyday until the Castle of her ways turn to sand She holds her lovely breast As the birds fall from the nest Flying towards the great northwest, yeah yeah yeah And with no repair in sight There is no God with such might As to open her world wide with subterfuge Your death will soon arrive As she finally decides that all her Problems, they won't die with you Oh yeah She's your lightning bolt Never let her go She's true She's rock 'n roll Never let go Uncontrollable She's just like you"
Pearl-Jam,Seven-O-Clock,"Seven o'clock in the morning, got a message from afar Down under an oasis where there are dreams still being born And summer spoke to winter relaying all encouraging words And I was fully grateful mutant messages were heard Moved on from my despondency and left it in the bed Do I leave it there still sleeping ot maybe kill it better yet? For this is no time for depression or self-indulgent hesitance This fucked-up situation calls for all hands, hands on deck Freedom is as freedom does and freedom is a verb They giveth they taketh and you fight to keep that what you've earned We saw the destination, got so close before it turned Swim sideways from this undertow And do not be deterred Floodlight dreams go drifting past All the lives we could've had Distant loves floating above Close these eyes, they've seen enough Caught the butterfly, broke its wings then put it on display Stripped of all its beauty once it could not fly high away Still alive like a passer-by overdosed on gamma rays Another God's creation destined to be thrown away Sitting Bull and Crazy Horse, they forged the north and west Then there's Sitting Bullshit as our sitting president Talking to his mirror, what's he say, what's it say back? A tragedy of errors, who'll be the last to have a laugh? His best days gone, hard to admit Throwing angry punches with nothing to hit Luminous thoughts were once all he had Fading lights, lost eloquence There's still a fire in the engine room Knows relief will be coming soon What's to be done Carve a path for rivers reign Much to be done Oceans rising with the waves So, held by these thoughts They refuse to slip away Oh, hangman in dreamland About to call your name Much to be"
Pearl-Jam,Alive-1,"Son, she said Have I got a little story for you What you thought was your daddy Was nothin' but a... While you were sittin' home alone at age thirteen Your real daddy was dyin' Sorry you didn't see him But I'm glad that we talked Oh I, o-oh I'm still alive Hey, hey I, o-oh I'm still alive Hey I, o-oh I'm still alive Hey, oh While she walks slowly Across a young man's room She said, ""I'm ready for you"" I can't remember anything To this very day 'Cept the look, the look Oh, you know where Now I can't see, I just stare I, I'm still alive Yeah, yeah, I, o-oh I'm still alive Yeah, yeah, I, o-oh I'm still alive, yeah ""Is something wrong?"", she said Of course there is ""You're still alive"", she said Oh, do I deserve to be? Is that the question? And if so, if so Who answers, who answers? I, o-oh I'm still alive Yeah, yeah, I, mmh I'm still alive Yeah, yeah, yeah, yeah, yeah, yeah Wow aha, yeah aha Ooh wow, come on! Yeah, aha Yeah, yeah, yeah, yeah!"
Pearl-Jam,Black-1991,"Hey, oh Sheets of empty canvas, untouched sheets of clay Were laid spread out before me as her body once did All five horizons revolved around her soul As the earth to the sun Now the air I tasted and breathed has taken a turn Oh, and all I taught that was everything Oh, I know she gave me all that she wore And now my bitter hands chafe beneath the clouds Of what was everything? Oh, the pictures have all been washed in black, tattooed everything I take a walk outside I'm surrounded by some kids at play I can feel their laughter, so why do I sear Oh, and twisted thoughts that spin round my head I'm spinning, oh, I'm spinning How quick the sun can drop away And now my bitter hands cradle broken glass All the pictures have all been washed in black, tattooed everything All the love gone bad, turned my world to black Tattooed all I see, all that I am, all that I'll be, yeah Uh huh, uh huh, oh I know someday you'll have a beautiful life, I know you'll be a star In somebody else's sky, but why, why, why? Can't it be, can't it be mine We belong, we belong together, together!"
Pearl-Jam,Take-The-Long-Way,"You got me through these feelings That separates me from you I put myself through a beating I need you to pull me through I'll break through these feelings I'll break through the ceiling I always take the long way, the long way I always take the long way, that leads me back to you Now's the time to resurface Take back me and you The hammer will fall on purpose Our time, our truth Plant a seed in your mind, what's yours is mine Show me how to live divine, what's yours is mine Back to a moment in your mind, go back in time"
Pearl-Jam,Elderly-Woman-Bahind-the-Counter-in-a-Small-Town,"I seem to recognize your face Haunting, familiar, yet I can't seem to place it Cannot find the candle of thought to light your name Lifetimes are catching up with me All these changes taking place I wish I'd seen the place But no one's ever taken me Hearts and thoughts they fade, fade away I swear, I recognize your breath Memories like fingerprints are slowly raising Me, you wouldn't recall for I'm not my former It's hard when you're stuck upon the shelf I changed by not changing at all Small town predicts my fate Perhaps that's what no one wants to see I just want to scream, hello My God, it's been so long Never dreamed you'd return But now here you are and here I am Hearts and thoughts they fade away Hearts and thoughts they fade"
Pearl-Jam,Future-Days,"If I ever were to lose you I'd surely lose myself Everything I have found dear I've not found by myself Try and sometimes you'll succeed To make this man of me All my stolen missing parts I've no need for anymore I believe And I believe cause I can see Our future days Days of you and me Back when I was feeling broken I focused on a prayer You came deep as any ocean Did something out there hear? All the complexities and games No one wins but somehow they're still played All the missing crooked hearts They may die but in us they live on When hurricanes and cyclones raged When winds turned dirt to dust When floods they came or tides they raised Ever closer became us All the promises at sundown I've meant them like the rest All the demons used to come round I'm grateful now they've left So persistent in my ways Hey Angel I am here to stay No resistance, no alarms Please, this is just too good to be gone You and me"
Pearl-Jam,Sirens,"Hear the sirens Hear the circus so profound I hear the sirens More and more in this here town Let me catch my breath to breathe And reach across the bed Just to know we're safe I am a grateful man The slightest bit of light And I can see you clear Have to take your hand And feel your breath For fear this someday will be over I pull you close, so much to lose Knowing that nothing lasts forever I didn't care, before you were here I danced in laughter with the ever after But all things change Let this remain Covering distance in the night The sound echoing closer Will they come for me next time For every choice mistake I've made It's not my plan Or to send you in the arms of Another man And if you choose to stay I'll wait I'll understand It's a fragile thing This life we lead If I think too much I can get Over-whelmed by the grace By which we live our lives With death over our shoulders Want you to know That should I go I always loved you Held you high above, true I study your face And the fear goes away If I think too much I can get over- Whelmed by the grace With death over our shoulder The fear goes away Aah ah, oh oh"
Pearl-Jam,Black-1,"Hey, hey, yeah, uh Sheets of empty canvas, untouched sheets of clay Were laid spread out before me as her body once did All five horizons revolved around her soul, as the earth to the sun Now the air I tasted and breathed has taken a turn, ooh Ooh, and all I taught her was everything Ooh, I know she gave me all that she wore And now my bitter hands chafe beneath the clouds Of what was everything Oh, the pictures have all been washed in black Tattooed everything I take a walk outside, I'm surrounded by some kids at play I can feel their laughter, so why do I sear? Oh and twisted thoughts that spin 'round my head I'm spinning, oh I'm spinning How quick the sun can drop away And now my bitter hands cradle broken glass All the pictures have all been washed in black All the love gone bad turned my world to black Tattooed all I see, all that I am, all that I'll be, yeah Oh, oh, ooh I know someday you'll have a beautiful life I know you'll be a star in somebody else's sky, but why Why, why can't it be, oh can't it be mine? Ooh, ah yeah, ah ooh"
Pearl-Jam,Rearviewmrror,"I took a drive today Time to emancipate I guess it was the beatings made me wise But I'm not about to give thanks, or apologize I couldn't breathe, holdin' me down Hand on my face Pushed to the ground Enmity gaged, united by fear Forced to endure What I could not forgive I seem to look away Wounds in the mirror waved It wasn't my surface most defiled Head at your feet, fool to your crown Pissed on my plate, swallowed it down Enmity gauged, united by fear Tried to endure Saw things Clearer Clearer once you, were in my rearviewmirror I gather speed from you fucking with me Once and for all I'm far away I hardly believe Finally the shades, are raised, hey yeah Saw things so much clearer Once you, once you (rearviewmirror) Once you, oh yeah"
